relation_id	relation_name	gene_words	hpoterm_words	words	sentences_before	sentences_after	expectation
RELATION_GENEHPOTERM_journal.pone.0084347.pdf_274_274_11_11_15_16	MTP/HP:0001822|Hallux valgus	{11}	{15,16}	{Hallux,rigidus,is,the,second,most,common,disorder,of,the,ﬁrst,MTP,joint,next,to,hallux,valgus,[,24,],.}	{"Second , this load was relative small , avoiding injury to the joint .","These factors served to increase the reproducibility of the testing ."}	{"Some studies suggest that a tight or short ﬁrst central PA bundle may contribute to hallux rigddus [ 25,26 ] .","Davies-Colley [ 27 ] treated patients with hallux rigidus by dividing the first PA bundle and part short muscles in the sole of the foot ."}	0.51
RELATION_GENEHPOTERM_journal.pone.0063219.pdf_549_549_29_29_35_36	FCGR3B/HP:0001370|Rheumatoid arthritis	{29}	{35,36}	{NIcKinney,C,",",Fanciulli,lVl,",","l\\\\/Ierriman",lVl,",",Phipps-Green,A,",",Alizadeh,B,",",et,al.,(,2010,),Association,of,variation,in,Fc,Ga_mma,Receptor,3B,(,FCGR3B,),gene,copy,number,with,rheumatoid,arthritis,in,Caucasian,samples,.}	{"NIcKinney C , Nlerriman NIE , Chapman PT , Gow PJ , Harrison AA , et al. ( 2008 ) Evidence for an inﬂuence of chemokine ligand 3-like l ( CCI3L ] ) gene copy number on susceptibility to rheumatoid arthritis .","Ann Rheum Dis 67 : 409 — 4l3 ."}	{"Ann Rheum Dis 69 : 171l — l7l6 .","NIcKinney C , lVlerriman TR ( 2012 ) l \\\\ ’ 1eta-analysis conﬁrms a role for deletion in FCGR3B in autoimmune phenotypes ."}	0.622
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0039804.pdf_671_671_10_10_23_23_UNSUP	ARI/HP:0100753|Schizophrenia	{10}	{23}	{Hinkley,LBN,",",Owen,JP,",",Fisher,lVI,",",Findlay,ARI,",",Vinogradov,S,",",et,al.,(,2010,),Cognitive,impairments,in,schizophrenia,as,assessed,through,activation,and,connectivity,measures,of,magnetoencephalography,(,lVIEG,),data,.}	{"Guggisberg AG , Honma SKI , Findlay Al\\\\/I , Dalal SS , Kirsch HE , et al. ( 2008 ) l \\\\ Iapping functional connectivity in patients with brain lesions .","Ann Neurol 63 : 1934203 ."}	{"Front Hum Neurosci .","11 : 3473 ."}	0.118
RELATION_GENEHPOTERM_SUP_F_G_journal.pone.0019113.pdf_443_443_1_1_46_46_UNSUP	HP/HP:0001297|Stroke	{1}	{46}	{Adams,HP,",",Jr.,",",del,Zoppo,G,",",Alberts,"1\\\\/IJ",",",Bhatt,DL,",",Brass,L,",",et,al.,(,2007,),Guidelines,for,the,Early,l,"\\\\",’,Ianagement,of,Adults,VVith,Ischemic,Stroke,:,A,Guideline,From,the,American,Heart,Association,/,American,Stroke,Association,Stroke,Council,",",Clinical,Cardiology,Council,",",Cardiovascular,Radiology,and,Intervention,Council,",",and,the,Atherosclerotic,Peripheral,Vascular,Disease,and,Quality,ofCare,Outcomes,in,Research,Interdisciplinary,VVorking,Groups,:,The,American,Academy,of,Neurology,affirms,the,value,of,this,guideline,as,an,educational,tool,for,neurologists,.}	{"Roffe C , Sills S , Pountain S , Allen l \\\\ ’ I ( 2010 ) A Randomized Controlled Trial of the Effect of Fixed-dose Routine Nocturnal Oxygen Supplementation on Oxygen Saturation in Patients with Acute Stroke .","Journal of Stroke and Cerebrovascular Diseases 19 ( 1 ) : 29 — 35 ."}	{"Stroke 38 ( 5 ) : l655 — l7ll .","European Stroke Organization Guidelines for the management of ischaemic stroke and transient ischaemic attack ."}	0.032
RELATION_GENEHPOTERM_journal.pone.0081750.pdf_54_54_14_14_26_26	CART/HP:0001297|Stroke	{14}	{26}	{We,recently,demonstrated,that,repeated,intranasal,delivery,of,cocaine,-,and,amphetamine-regulated,transcript,(,CART,),increased,BDNF,expression,in,SVZ,and,enhanced,behavioral,recovery,after,stroke,[,12,],.}	{"For example , intravenous administration of BDNF stimulated recruitment of NPCs migrate to the lesioned striatum after stroke [ 14 ] .","lntraventricular infusion of BDNF antisense oligonucleotides blocked the expression of BDNF mRNA and attenuated skilled reaching recovery after stroke [ 15 ] ."}	{"CART enhanced the migration of SVZ explant cells , which was antagonized by BDNF blocking antibody [ 12 ] .","Similarly , Chen et al reported that atorvastatin induced SVZ explant cell migration through BDNF upregulation and improved neurological function in stroke animals [ 16 ] ."}	0.428
RELATION_GENEHPOTERM_journal.pntd.0000761.pdf_299_299_1_1_29_29	CT/HP:0001945|Fever	{1}	{29}	{Codeco,CT,",",Luz,"Pl\\\\/1",",",Coelho,F,",",Galvani,AP,",",Struchiner,C,(,2007,),Vaccinating,in,disease-free,regions,:,a,vaccine,model,with,application,to,yellow,fever,.}	{"Nlath Biosci 204 : 1854198 .",.}	{"J R Soc Interface 4 : 111941125 .",.}	0.056
RELATION_GENEHPOTERM_journal.pone.0088748.pdf_429_429_23_23_34_34	FAS/HP:0002861|Melanoma	{23}	{34}	{Li,C,",",Larson,D,",",Zhang,Z,",",Liu,Z,",",Strom,SS,",",et,al.,(,2006,),Polymorphisms,of,the,FAS,and,FAS,ligand,genes,associated,with,risk,of,cutaneous,malignant,melanoma,.}	{"BIVIC Nled Genet 12 : 112 .","33 ."}	{"Pharmacogenet Genomics 16 : 2534263 .","34 ."}	0.494
RELATION_GENEHPOTERM_journal.pone.0071490.pdf_202_202_25_25_9_9	p27K/HP:0009919|Retinoblastoma	{25}	{9}	{[,pRB,:,hypophosphorylated,retinoblastoma,;,ppRB,:,hyperphosphorylated,retinoblastoma,],;,D,),BrdU,incorporation,24,hours,after,exposure,to,5,%,serum,in,p27K,',P1,—,infected,human,PAEC,and,PASMC,.}	{"Cells were then exposed to 5 % serum and cell lysates harvested 24 hours later .","A representative Western blot is shown ."}	{"doi :10.1371 / journa | .","pone ."}	0.114
RELATION_GENEHPOTERM_journal.pone.0027566.pdf_577_577_31_31_23_24	prodynorphin/HP:0004305|Involuntary movements	{31}	{23,24}	{Andersson,l,"\\\\",’,I,",",Hilbertson,A,",",Cenci,IVIA,(,1999,),Striatal,fosB,expression,is,causally,linked,with,1-DOPA-induced,abnormal,involuntary,movements,and,the,associated,upregulation,of,striatal,prodynorphin,mRNA,in,a,rat,model,of,Parkinson,’s,disease,.}	{"Behav Brain Res 205 : 2144218 .","34 ."}	{"Neurol ) iol Dis 6 : 461 — 474 .","35 ."}	0.296
RELATION_GENEHPOTERM_gb-2009-10-10-r104.pdf_445_445_60_60_52_53	SNCB/HP:0100315|Lewy bodies	{60}	{52,53}	{These,networks,are,connected,by,Ctsd,and,Ywhae,and,are,orders,associated,with,Network,3,include,Pelizaeus-Merz,-,implicated,in,amyloid,processing,(,App,and,Mapt,),",",aiyl,bacher,disease,(,[,OMIM,:312080,],;,PLP1,),and,dementia,with,hydrocarbon,receptor,signaling,(,Ctsd,and,Nedd8,),and,cell,Lewy,bodies,(,[,OMlM,:127750,],;,SNCB,),",",whereas,X-linked,cycle,G2/M,DNA,damage,checkpoint,regulation,pathways,mental,retardation,(,[,OMIM,:3,oo21o,],;,TSPAN7,or,TM4SF2,),(,Ywhae,),.}	{"These two molecular networks ( 14 focus genes and such as cell proliferation , movement and death processes are 52 associated nodes ) are associated with cellular morphogenalso linked to these networks through the genes Camk2a , esis , amino acid metabolism , cell death processes and develCryab , Egr1 , Gstm1 , Itpr1 , Mbp , Nrgn , Ppp1r1b , Ppp3ca , opmental disorders ( Figures S8 and S9 in Additional data ﬁle Rgs4 , Sept4 , Sirpa and Sncb .","Known human neurological dis - 1 ) ."}	{"App , Atp7a , Hprt1 , Mapt , Ctsd and Clcn2 are is associated with network 4 .","MBP , found in both network 3 involved in cell morphogenesis , assembly and organization ."}	0.4
